id,prompt,ses,social_class,gender,gender_other,age,nationality,ethnicity,ethnicity_other,marital,marital_other,language,language_other,religion,religion_other,education,mum_education,dad_education,home,home_other,employment,occupation,mother_occupation,father_occupation,hobbies,hobbies_other,tech,tech_other,know_nlp,know_nlp_other,use_nlp,use_nlp_other,would_nlp,would_nlp_other,frequency_llm,llm_use,llm_other,usecases,usecases_other,contexts,contexts_other,comments
u487p5,How to customize the link color using CSS for an HTML website,7,middle,Male,,35-44,United States,White / Caucasian,,Single,,English,,Nothing,,Undergraduate degree,High school or below,Undergraduate degree,Own,,Employed full time,"Professionals or highly skilled workers (those who increase the existing stock of knowledge or teach about it in a systematic manner, e.g. engineer, doctor, teacher, lawyer)",Homemaker,"Professionals or highly skilled workers (those who increase the existing stock of knowledge or teach about it in a systematic manner, e.g. engineer, doctor, teacher, lawyer)",Listen to rock/indie music;Go to gigs;Exercise;Use social media;Go to museums and galleries;Watch sports,,Laptop;Smartphone;Smartwatch,,"Spell checker (i.e., correcting misspellings);Grammar checker (i.e., correcting grammar mistakes);E-mail spam detection (i.e., automatically send spam e-mails to your Trash folder);Question Answering & Search Engine. (e.g., browsers or ask questions to smart devices/assistants);Dialog technology (e.g. chatbots that communicate with you such as chatGPT);Speech-to-Text (i.e. a computer transcribing your spoken language to written language);Text-to-Speech (i.e, computers being able to read out loud written language);Reading text from scanned documents (i.e. “Optical character recognition” or OCR. Given an image representing printed text, determine the corresponding text.)",,"Spell checker (i.e., correcting misspellings);Grammar checker (i.e., correcting grammar mistakes);E-mail spam detection (i.e., automatically send spam e-mails to your Trash folder);Paraphrasing and Summarisation (i.e., automatically produce alternative descriptions of written text);Question Answering & Search Engine. (e.g., browsers or ask questions to smart devices/assistants)",,"Spell checker (i.e., correcting misspellings);Grammar checker (i.e., correcting grammar mistakes);E-mail spam detection (i.e., automatically send spam e-mails to your Trash folder);Sentiment analysis (e.g. automatically detect if user reviews are positive or negative)Machine translation (e.g. translate Chinese or Russian into English, and vice versa);Paraphrasing and Summarisation (i.e., automatically produce alternative descriptions of written text);Question Answering & Search Engine. (e.g., browsers or ask questions to smart devices/assistants);Dialog technology (e.g. chatbots that communicate with you such as chatGPT);Speech-to-Text (i.e. a computer transcribing your spoken language to written language);Text-to-Speech (i.e, computers being able to read out loud written language);Reading text from scanned documents (i.e. “Optical character recognition” or OCR. Given an image representing printed text, determine the corresponding text.)",,Every day,ChatGPT,,"Coding;Translation;Brainstorming;Writing (e.g., composing emails);Paraphrasing or finding synonyms;Proofreading/Editing (e.g., grammar, spelling, structure improvements);Digital content creation (e.g., creation of social media content);Solving math or logical problems;Analyze data;Completing assignments;Learning (e.g., explaining complex concepts in simple terms);Get information about current events;Answering questions about general knowledge;Summarizing long texts",,Entertainment;Work;Personal,,
u825p5,Can you help me come up with some blog post ideas for my website?,8,upper,Male,,45-54,United States,White / Caucasian,,Married,,English,,Christian,,Doctorate or above,Doctorate or above,Doctorate or above,Own,,Employed full time,"Manager or business owner (those who plan, direct, coordinate and evaluate the overall activities of enterprises, governments and other organizations)",Prefer not to say,Prefer not to say,Exercise;Use social media;Watch sports,,Laptop;Smartphone;Tablet;Smartwatch,,"Grammar checker (i.e., correcting grammar mistakes);E-mail spam detection (i.e., automatically send spam e-mails to your Trash folder);Spell checker (i.e., correcting misspellings);Question Answering & Search Engine. (e.g., browsers or ask questions to smart devices/assistants);Dialog technology (e.g. chatbots that communicate with you such as chatGPT);Text-to-Speech (i.e, computers being able to read out loud written language);Speech-to-Text (i.e. a computer transcribing your spoken language to written language)",,"Spell checker (i.e., correcting misspellings);Grammar checker (i.e., correcting grammar mistakes);Question Answering & Search Engine. (e.g., browsers or ask questions to smart devices/assistants);Speech-to-Text (i.e. a computer transcribing your spoken language to written language);Text-to-Speech (i.e, computers being able to read out loud written language)",,"Sentiment analysis (e.g. automatically detect if user reviews are positive or negative);Machine translation (e.g. translate Chinese or Russian into English, and vice versa);Reading text from scanned documents (i.e. “Optical character recognition” or OCR. Given an image representing printed text, determine the corresponding text.)",,Every day,ChatGPT,,"Writing (e.g., composing emails);Answering questions about general knowledge;Summarizing long texts;Get information about current events;Learning (e.g., explaining complex concepts in simple terms);Generate art;Analyze data;Solving math or logical problems",,Work;Personal;Technical;Learning;Creative or artistic,,nope all good
u795p3,books for finding meaning,3,low,Female,,35-44,United States,White / Caucasian,,Single,,English,,Nothing,,High school or below,Undergraduate degree,High school or below,Other (Please specify),Living with mother.,Student,Prefer not to say,"Clerical support workers (those who perform clerical duties such as organizing, storing, computing and retrieving information)","Manager or business owner (those who plan, direct, coordinate and evaluate the overall activities of enterprises, governments and other organizations)",Use social media;Do arts and crafts;Other (Please specify),"Read, play video games, creative writing",Smartphone;Tablet;Other,Desktop,"Spell checker (i.e., correcting misspellings);Grammar checker (i.e., correcting grammar mistakes);E-mail spam detection (i.e., automatically send spam e-mails to your Trash folder);Machine translation (e.g. translate Chinese or Russian into English, and vice versa);Paraphrasing and Summarisation (i.e., automatically produce alternative descriptions of written text);Question Answering & Search Engine. (e.g., browsers or ask questions to smart devices/assistants);Dialog technology (e.g. chatbots that communicate with you such as chatGPT);Speech-to-Text (i.e. a computer transcribing your spoken language to written language);Text-to-Speech (i.e, computers being able to read out loud written language)",,"Spell checker (i.e., correcting misspellings);Grammar checker (i.e., correcting grammar mistakes);E-mail spam detection (i.e., automatically send spam e-mails to your Trash folder);Machine translation (e.g. translate Chinese or Russian into English, and vice versa);Question Answering & Search Engine. (e.g., browsers or ask questions to smart devices/assistants);Dialog technology (e.g. chatbots that communicate with you such as chatGPT);Speech-to-Text (i.e. a computer transcribing your spoken language to written language);Text-to-Speech (i.e, computers being able to read out loud written language)",,Sentiment analysis (e.g. automatically detect if user reviews are positive or negative),,Sometimes,ChatGPT;GitHub Copilot,,"Brainstorming;Paraphrasing or finding synonyms;Generic chatbot conversation;Generate art;Play games;Learning (e.g., explaining complex concepts in simple terms);Answering questions about general knowledge",,Entertainment;Learning;Personal;Creative or artistic,,
u709p1,The best beer for SuperBowl,3,low,Male,,35-44,United States,White / Caucasian,,Single,,English,,Nothing,,High school or below,Prefer not to say,Prefer not to say,Prefer not to say,,"Not employed, but looking for work",Prefer not to say,Prefer not to say,Prefer not to say,Listen to rock/indie music;Use social media;Watch sports;Other (Please specify),play video games,Laptop;Smartphone;Tablet,,"Spell checker (i.e., correcting misspellings);Grammar checker (i.e., correcting grammar mistakes);E-mail spam detection (i.e., automatically send spam e-mails to your Trash folder);Sentiment analysis (e.g. automatically detect if user reviews are positive or negative);Machine translation (e.g. translate Chinese or Russian into English, and vice versa);Question Answering & Search Engine. (e.g., browsers or ask questions to smart devices/assistants);Speech-to-Text (i.e. a computer transcribing your spoken language to written language);Text-to-Speech (i.e, computers being able to read out loud written language);Dialog technology (e.g. chatbots that communicate with you such as chatGPT)",,"Spell checker (i.e., correcting misspellings);Question Answering & Search Engine. (e.g., browsers or ask questions to smart devices/assistants);Machine translation (e.g. translate Chinese or Russian into English, and vice versa);Grammar checker (i.e., correcting grammar mistakes);Text-to-Speech (i.e, computers being able to read out loud written language);Speech-to-Text (i.e. a computer transcribing your spoken language to written language);Dialog technology (e.g. chatbots that communicate with you such as chatGPT)",,"Reading text from scanned documents (i.e. “Optical character recognition” or OCR. Given an image representing printed text, determine the corresponding text.);Paraphrasing and Summarisation (i.e., automatically produce alternative descriptions of written text);E-mail spam detection (i.e., automatically send spam e-mails to your Trash folder)",,Sometimes,ChatGPT;Google Gemini,,Generic chatbot conversation;Generate art;Get information about current events,,Entertainment;Creative or artistic;Personal,,
u282p2,who was the greatest scientist to ever live?,5,middle,Male,,18-24,United States,Black or African American,,Single,,English,,Nothing,,Graduate degree,Undergraduate degree,Undergraduate degree,Rent,,Employed part time,"Professionals or highly skilled workers (those who increase the existing stock of knowledge or teach about it in a systematic manner, e.g. engineer, doctor, teacher, lawyer)","Professionals or highly skilled workers (those who increase the existing stock of knowledge or teach about it in a systematic manner, e.g. engineer, doctor, teacher, lawyer)","Professionals or highly skilled workers (those who increase the existing stock of knowledge or teach about it in a systematic manner, e.g. engineer, doctor, teacher, lawyer)",Use social media;Watch sports;Listen to classical music,,Laptop;Smartphone;Tablet,,"Spell checker (i.e., correcting misspellings);Grammar checker (i.e., correcting grammar mistakes);E-mail spam detection (i.e., automatically send spam e-mails to your Trash folder);Sentiment analysis (e.g. automatically detect if user reviews are positive or negative)Machine translation (e.g. translate Chinese or Russian into English, and vice versa);Paraphrasing and Summarisation (i.e., automatically produce alternative descriptions of written text);Question Answering & Search Engine. (e.g., browsers or ask questions to smart devices/assistants);Dialog technology (e.g. chatbots that communicate with you such as chatGPT);Speech-to-Text (i.e. a computer transcribing your spoken language to written language);Text-to-Speech (i.e, computers being able to read out loud written language);Reading text from scanned documents (i.e. “Optical character recognition” or OCR. Given an image representing printed text, determine the corresponding text.)",,"Spell checker (i.e., correcting misspellings);E-mail spam detection (i.e., automatically send spam e-mails to your Trash folder);Sentiment analysis (e.g. automatically detect if user reviews are positive or negative)Machine translation (e.g. translate Chinese or Russian into English, and vice versa);Paraphrasing and Summarisation (i.e., automatically produce alternative descriptions of written text);Question Answering & Search Engine. (e.g., browsers or ask questions to smart devices/assistants);Grammar checker (i.e., correcting grammar mistakes);Dialog technology (e.g. chatbots that communicate with you such as chatGPT);Speech-to-Text (i.e. a computer transcribing your spoken language to written language);Text-to-Speech (i.e, computers being able to read out loud written language);Reading text from scanned documents (i.e. “Optical character recognition” or OCR. Given an image representing printed text, determine the corresponding text.)",,"Spell checker (i.e., correcting misspellings);Grammar checker (i.e., correcting grammar mistakes);E-mail spam detection (i.e., automatically send spam e-mails to your Trash folder);Sentiment analysis (e.g. automatically detect if user reviews are positive or negative)Machine translation (e.g. translate Chinese or Russian into English, and vice versa);Paraphrasing and Summarisation (i.e., automatically produce alternative descriptions of written text);Question Answering & Search Engine. (e.g., browsers or ask questions to smart devices/assistants);Dialog technology (e.g. chatbots that communicate with you such as chatGPT);Speech-to-Text (i.e. a computer transcribing your spoken language to written language);Text-to-Speech (i.e, computers being able to read out loud written language);Reading text from scanned documents (i.e. “Optical character recognition” or OCR. Given an image representing printed text, determine the corresponding text.)",,Every day,ChatGPT;GitHub Copilot;Google Gemini;Meta Llama 2;Microsoft Bing AI;Perplexity,,"Coding;Translation;Brainstorming;Writing (e.g., composing emails);Paraphrasing or finding synonyms;Proofreading/Editing (e.g., grammar, spelling, structure improvements);Digital content creation (e.g., creation of social media content);Generic chatbot conversation;Solving math or logical problems;Analyze data;Completing assignments;Learning (e.g., explaining complex concepts in simple terms);Get information about current events;Answering questions about general knowledge;Collecting references;Summarizing long texts",,Work;School/University;Entertainment;Learning;Personal;Creative or artistic;Technical,,NO
u184p1,"""Can you help me write a poem about the ocean?""",6,middle,Female,,18-24,United Kingdom,Black or African American,,Cohabitating,,English,,Christian,,Graduate degree,High school or below,Undergraduate degree,Rent,,Employed full time,"Plant and machine operators, and assemblers (those who maintain, operate and monitor industrial and agricultural machinery and equipment)","Manager or business owner (those who plan, direct, coordinate and evaluate the overall activities of enterprises, governments and other organizations)","Technicians and associate professionals (those who apply scientific or artistic concepts and operational methods, e.g. secretaries, fitness workers, lab technicians)",Go to gigs;Use social media;Exercise;Listen to hiphop and rap,,Laptop;Smartphone,,"Spell checker (i.e., correcting misspellings);Grammar checker (i.e., correcting grammar mistakes);Paraphrasing and Summarisation (i.e., automatically produce alternative descriptions of written text)",,"Spell checker (i.e., correcting misspellings);Grammar checker (i.e., correcting grammar mistakes);Paraphrasing and Summarisation (i.e., automatically produce alternative descriptions of written text);Dialog technology (e.g. chatbots that communicate with you such as chatGPT)",,"Spell checker (i.e., correcting misspellings);E-mail spam detection (i.e., automatically send spam e-mails to your Trash folder);Dialog technology (e.g. chatbots that communicate with you such as chatGPT)",,Nearly every day,ChatGPT;Claude;Character.AI,,"Translation;Writing (e.g., composing emails);Proofreading/Editing (e.g., grammar, spelling, structure improvements);Generic chatbot conversation;Learning (e.g., explaining complex concepts in simple terms);Summarizing long texts;Get information about current events",,Work;School/University;Learning;Personal,,Thank you.
u282p7,why does everyone loves america,5,middle,Male,,18-24,United States,Black or African American,,Single,,English,,Nothing,,Graduate degree,Undergraduate degree,Undergraduate degree,Rent,,Employed part time,"Professionals or highly skilled workers (those who increase the existing stock of knowledge or teach about it in a systematic manner, e.g. engineer, doctor, teacher, lawyer)","Professionals or highly skilled workers (those who increase the existing stock of knowledge or teach about it in a systematic manner, e.g. engineer, doctor, teacher, lawyer)","Professionals or highly skilled workers (those who increase the existing stock of knowledge or teach about it in a systematic manner, e.g. engineer, doctor, teacher, lawyer)",Use social media;Watch sports;Listen to classical music,,Laptop;Smartphone;Tablet,,"Spell checker (i.e., correcting misspellings);Grammar checker (i.e., correcting grammar mistakes);E-mail spam detection (i.e., automatically send spam e-mails to your Trash folder);Sentiment analysis (e.g. automatically detect if user reviews are positive or negative)Machine translation (e.g. translate Chinese or Russian into English, and vice versa);Paraphrasing and Summarisation (i.e., automatically produce alternative descriptions of written text);Question Answering & Search Engine. (e.g., browsers or ask questions to smart devices/assistants);Dialog technology (e.g. chatbots that communicate with you such as chatGPT);Speech-to-Text (i.e. a computer transcribing your spoken language to written language);Text-to-Speech (i.e, computers being able to read out loud written language);Reading text from scanned documents (i.e. “Optical character recognition” or OCR. Given an image representing printed text, determine the corresponding text.)",,"Spell checker (i.e., correcting misspellings);E-mail spam detection (i.e., automatically send spam e-mails to your Trash folder);Sentiment analysis (e.g. automatically detect if user reviews are positive or negative)Machine translation (e.g. translate Chinese or Russian into English, and vice versa);Paraphrasing and Summarisation (i.e., automatically produce alternative descriptions of written text);Question Answering & Search Engine. (e.g., browsers or ask questions to smart devices/assistants);Grammar checker (i.e., correcting grammar mistakes);Dialog technology (e.g. chatbots that communicate with you such as chatGPT);Speech-to-Text (i.e. a computer transcribing your spoken language to written language);Text-to-Speech (i.e, computers being able to read out loud written language);Reading text from scanned documents (i.e. “Optical character recognition” or OCR. Given an image representing printed text, determine the corresponding text.)",,"Spell checker (i.e., correcting misspellings);Grammar checker (i.e., correcting grammar mistakes);E-mail spam detection (i.e., automatically send spam e-mails to your Trash folder);Sentiment analysis (e.g. automatically detect if user reviews are positive or negative)Machine translation (e.g. translate Chinese or Russian into English, and vice versa);Paraphrasing and Summarisation (i.e., automatically produce alternative descriptions of written text);Question Answering & Search Engine. (e.g., browsers or ask questions to smart devices/assistants);Dialog technology (e.g. chatbots that communicate with you such as chatGPT);Speech-to-Text (i.e. a computer transcribing your spoken language to written language);Text-to-Speech (i.e, computers being able to read out loud written language);Reading text from scanned documents (i.e. “Optical character recognition” or OCR. Given an image representing printed text, determine the corresponding text.)",,Every day,ChatGPT;GitHub Copilot;Google Gemini;Meta Llama 2;Microsoft Bing AI;Perplexity,,"Coding;Translation;Brainstorming;Writing (e.g., composing emails);Paraphrasing or finding synonyms;Proofreading/Editing (e.g., grammar, spelling, structure improvements);Digital content creation (e.g., creation of social media content);Generic chatbot conversation;Solving math or logical problems;Analyze data;Completing assignments;Learning (e.g., explaining complex concepts in simple terms);Get information about current events;Answering questions about general knowledge;Collecting references;Summarizing long texts",,Work;School/University;Entertainment;Learning;Personal;Creative or artistic;Technical,,NO
u780p8,which football team is the most decorated in the past 20 years,8,upper,Male,,25-34,United States,White / Caucasian,,Married,,English,,Muslim,,Graduate degree,High school or below,High school or below,Own,,Employed full time,"Professionals or highly skilled workers (those who increase the existing stock of knowledge or teach about it in a systematic manner, e.g. engineer, doctor, teacher, lawyer)","Skilled agricultural, forestry and fishery workers (those harvest, grow, breed, or produce a variety of animal husbandry products)","Skilled agricultural, forestry and fishery workers (those harvest, grow, breed, or produce a variety of animal husbandry products)",Go to gigs;Listen to classical music;Exercise;Watch sports;Use social media,,Smartphone;Laptop;Tablet,,"Spell checker (i.e., correcting misspellings);Machine translation (e.g. translate Chinese or Russian into English, and vice versa);Speech-to-Text (i.e. a computer transcribing your spoken language to written language);Paraphrasing and Summarisation (i.e., automatically produce alternative descriptions of written text)",,"E-mail spam detection (i.e., automatically send spam e-mails to your Trash folder);Grammar checker (i.e., correcting grammar mistakes);Speech-to-Text (i.e. a computer transcribing your spoken language to written language);Machine translation (e.g. translate Chinese or Russian into English, and vice versa)",,"Machine translation (e.g. translate Chinese or Russian into English, and vice versa);Paraphrasing and Summarisation (i.e., automatically produce alternative descriptions of written text);Grammar checker (i.e., correcting grammar mistakes);Text-to-Speech (i.e, computers being able to read out loud written language)",,Every day,ChatGPT;Claude;Google Gemini,,"Writing (e.g., composing emails);Brainstorming;Digital content creation (e.g., creation of social media content);Analyze data",,Technical;Work;Personal,,"it is a very engaging and interactive study, i love it"
u390p4,Write a cover letter,4,middle,Female,,18-24,United Kingdom,White / Caucasian,,Cohabitating,,English,,Nothing,,Graduate degree,High school or below,High school or below,Rent,,Employed full time,"Technicians and associate professionals (those who apply scientific or artistic concepts and operational methods, e.g. secretaries, fitness workers, lab technicians)",Elementary occupations (jobs that involve simple and routine tasks which may require the use of hand-held tools and considerable physical effort),"Manager or business owner (those who plan, direct, coordinate and evaluate the overall activities of enterprises, governments and other organizations)",Exercise;Use social media,,Smartphone;Laptop,,"Grammar checker (i.e., correcting grammar mistakes);E-mail spam detection (i.e., automatically send spam e-mails to your Trash folder);Paraphrasing and Summarisation (i.e., automatically produce alternative descriptions of written text);Speech-to-Text (i.e. a computer transcribing your spoken language to written language);Text-to-Speech (i.e, computers being able to read out loud written language)",,"Spell checker (i.e., correcting misspellings);Grammar checker (i.e., correcting grammar mistakes);E-mail spam detection (i.e., automatically send spam e-mails to your Trash folder);Speech-to-Text (i.e. a computer transcribing your spoken language to written language)",,Dialog technology (e.g. chatbots that communicate with you such as chatGPT),,Rarely,Snapchat My AI,,Generic chatbot conversation,,Entertainment,,
u907p7,Customer service:,7,middle,Male,,55-60,United States,White / Caucasian,,Married,,English,,Christian,,Doctorate or above,Doctorate or above,Doctorate or above,Own,,Employed full time,"Professionals or highly skilled workers (those who increase the existing stock of knowledge or teach about it in a systematic manner, e.g. engineer, doctor, teacher, lawyer)","Professionals or highly skilled workers (those who increase the existing stock of knowledge or teach about it in a systematic manner, e.g. engineer, doctor, teacher, lawyer)","Professionals or highly skilled workers (those who increase the existing stock of knowledge or teach about it in a systematic manner, e.g. engineer, doctor, teacher, lawyer)",Exercise,,Laptop;Smartphone,,"Grammar checker (i.e., correcting grammar mistakes)",,"Spell checker (i.e., correcting misspellings)",,"Sentiment analysis (e.g. automatically detect if user reviews are positive or negative);E-mail spam detection (i.e., automatically send spam e-mails to your Trash folder)",,Nearly every day,ChatGPT,,"Translation;Writing (e.g., composing emails);Solving math or logical problems",,Personal;Work,,No
