,column,family,base_metric,model,n_nonnull,mean,std,min,max
0,user,Identifier / demographics,user,,732,,,,
1,social_class,Identifier / demographics,social_class,,732,,,,
2,gender,Identifier / demographics,gender,,732,,,,
3,gender_other,Identifier / demographics,gender_other,,9,,,,
4,age,Identifier / demographics,age,,732,,,,
5,nationality,Identifier / demographics,nationality,,728,,,,
6,ethnicity,Identifier / demographics,ethnicity,,720,,,,
7,ethnicity_other,Identifier / demographics,ethnicity_other,,20,,,,
8,marital,Identifier / demographics,marital,,732,,,,
9,marital_other,Identifier / demographics,marital_other,,21,,,,
10,language,Identifier / demographics,language,,729,,,,
11,language_other,Identifier / demographics,language_other,,16,,,,
12,religion,Identifier / demographics,religion,,732,,,,
13,religion_other,Identifier / demographics,religion_other,,35,,,,
14,education,Identifier / demographics,education,,732,,,,
15,mum_education,Identifier / demographics,mum_education,,732,,,,
16,dad_education,Identifier / demographics,dad_education,,732,,,,
17,home,Identifier / demographics,home,,732,,,,
18,home_other,Identifier / demographics,home_other,,56,,,,
19,employment,Identifier / demographics,employment,,732,,,,
20,occupation,Identifier / demographics,occupation,,715,,,,
21,mother_occupation,Identifier / demographics,mother_occupation,,722,,,,
22,father_occupation,Identifier / demographics,father_occupation,,718,,,,
23,hobbies,Identifier / demographics,hobbies,,711,,,,
24,hobbies_other,Identifier / demographics,hobbies_other,,113,,,,
25,tech,Identifier / demographics,tech,,730,,,,
26,tech_other,Identifier / demographics,tech_other,,62,,,,
27,know_nlp,Identifier / demographics,know_nlp,,727,,,,
28,know_nlp_other,Identifier / demographics,know_nlp_other,,7,,,,
29,use_nlp,Identifier / demographics,use_nlp,,720,,,,
30,use_nlp_other,Identifier / demographics,use_nlp_other,,6,,,,
31,would_nlp,Identifier / demographics,would_nlp,,662,,,,
32,would_nlp_other,Identifier / demographics,would_nlp_other,,21,,,,
33,frequency_llm,Identifier / demographics,frequency_llm,,732,,,,
34,llm_use,Identifier / demographics,llm_use,,721,,,,
35,llm_other,Identifier / demographics,llm_other,,38,,,,
36,usecases,Identifier / demographics,usecases,,724,,,,
37,usecases_other,Identifier / demographics,usecases_other,,24,,,,
38,contexts,Identifier / demographics,contexts,,719,,,,
39,contexts_other,Identifier / demographics,contexts_other,,16,,,,
40,comments,Identifier / demographics,comments,,315,,,,
41,ses,Identifier / demographics,ses,,732,5.1393,2.1432,1.0,10.0
